antiheroes,https://www.wikidata.org/wiki/Special:EntityPage/Q110910,
epistolary,https://www.wikidata.org/wiki/Special:EntityPage/Q465821,
experimental,https://www.wikidata.org/wiki/Special:EntityPage/Q1384425,
death,,
rebirth,,
dreams,,
marriage,,
psychological,https://www.wikidata.org/wiki/Special:EntityPage/Q286328,
Puranas,https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard,
Caste,https://www.wikidata.org/wiki/Special:EntityPage/Q484416,
historical,https://www.wikidata.org/wiki/Special:EntityPage/Q1196408,
Tulsidas,https://www.wikidata.org/wiki/Special:EntityPage/Q312976,
epic,,https://www.britannica.com/art/epic
social realism,https://www.wikidata.org/wiki/Special:EntityPage/Q667661,
family,,
common man,,
romance,https://www.wikidata.org/wiki/Special:EntityPage/Q858330,
patriotism,https://www.wikidata.org/wiki/Special:EntityPage/Q6241,
political,https://www.wikidata.org/wiki/Special:EntityPage/Q2254211,
detective,https://www.wikidata.org/wiki/Special:EntityPage/Q186424,
addiction,https://www.wikidata.org/wiki/Special:EntityPage/Q12029,
religious,https://www.wikidata.org/wiki/Special:EntityPage/Q9174,
fairy tales,https://www.wikidata.org/wiki/Special:EntityPage/Q699,
homeland,,
autobiography,https://www.wikidata.org/wiki/Special:EntityPage/Q4184,
social issues,https://www.wikidata.org/wiki/Special:EntityPage/Q740919,
crime,,
workers,https://www.wikidata.org/wiki/Special:EntityPage/Q627187,
middle-class,,
youth,,
rural,,
morality,https://www.wikidata.org/wiki/Special:EntityPage/Q48324,
disability,,
labour,https://www.wikidata.org/wiki/Special:EntityPage/Q627187,
autobiographical,https://www.wikidata.org/wiki/Special:EntityPage/Q4184,
artist,,
tukaram,https://www.wikidata.org/wiki/Special:EntityPage/Q468361,
Naxalism,https://www.wikidata.org/wiki/Special:EntityPage/Q912158,
mysticism,,
kafka,,
communication,,
tribal,,
partition,https://www.wikidata.org/wiki/Special:EntityPage/Q129053,
alienation,https://www.wikidata.org/wiki/Special:EntityPage/Q545825,
nostalgia,https://www.wikidata.org/wiki/Special:EntityPage/Q12151852,
immigration,https://www.wikidata.org/wiki/Q131288,
school life,,
1857 War of Independence,https://www.wikidata.org/wiki/Special:EntityPage/Q129864,
unity ,,
migration,https://www.wikidata.org/wiki/Special:EntityPage/Q1666161,
erotica,https://www.wikidata.org/wiki/Special:EntityPage/Q747483,
myth,https://www.wikidata.org/wiki/Special:EntityPage/Q12827256,
poverty,,
philosophy,,
cultural conflict,https://www.wikidata.org/wiki/Special:EntityPage/Q5193269,
childhood,,
sisterhood,,
princess,,
existential,https://en.wikipedia.org/wiki/Existentialism,
mystery,https://www.wikidata.org/wiki/Special:EntityPage/Q6585139,
